,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
QUAD,N/A,746.94M,11.33,1.75,0.16,0.71,4.13,-0.16%,4.26%,3.24%,-0.67%,4.87B,102.31,0.50%,970.50M,541.20M,-0.17,N/A,24.50M,0.49,1.46B,135.52,1.42,22.10,324.40M,228.50M,1.67,-30.87%,24.13,14.58,17.23,20.62,"238,205","343,850",35.37M,33.82%,53.00%,537.22K,2.20,7.50%,1.20
KWR,22.19,1.21B,19.34,2.21,1.62,3.48,11.48,7.07%,10.08%,7.84%,15.38%,765.52M,58.21,-0.20%,273.21M,94.63M,4.08,-18.50%,64.34M,4.83,73.10M,20.02,3.13,26.79,64.57M,42.88M,1.28,22.45%,95.74,67.29,85.89,84.96,"64,688","143,238",13.33M,3.35%,78.20%,315.15K,5.60,1.60%,1.22
QCOM,17.24,99.02B,13.44,2.11,3.72,2.99,9.50,23.02%,29.84%,9.83%,16.95%,26.52B,16.10,-14.30%,15.80B,9.10B,3.66,-47.10%,21.33B,13.58,10.91B,32.87,4.26,21.04,5.44B,4.83B,1.44,-15.67%,78.53,60.83,63.76,67.87,"12,367,200","10,900,700",1.57B,0.17%,80.80%,47.49M,3.80,3.10%,1.74
QLTY,22.17,447.93M,15.63,2.34,0.45,N/A,11.16,2.03%,4.79%,6.87%,N/A,987.72M,35.61,-1.70%,195.50M,68.74M,0.72,-17.90%,6.42M,0.23,331.38M,N/A,2.35,-0.97,57.20M,1.61M,3.10,11.78%,15.98,8.32,15.75,12.77,"435,405","282,662",28.10M,4.85%,85.40%,441.42K,1.40,N/A,N/A
QSII,26.79,759.39M,18.51,1.77,1.54,2.73,12.42,5.77%,7.88%,5.52%,10.00%,494.49M,8.20,3.60%,267.06M,52.04M,0.47,23.20%,116.80M,1.94,0.00,N/A,1.87,4.64,67.90M,47.36M,1.39,-20.06%,18.75,12.21,15.19,16.05,"501,098","514,350",60.32M,26.62%,67.50%,4.67M,11.70,5.50%,0.70
QLYS,38.58,1.14B,48.54,1.82,8.02,6.95,44.19,23.93%,10.25%,3.82%,25.09%,140.72M,4.23,23.50%,104.62M,26.70M,0.87,N/A,142.95M,4.21,0.00,N/A,1.95,4.78,36.34M,9.16M,-0.48,21.47%,55.47,23.43,38.73,43.13,"705,033","964,162",33.96M,38.56%,52.60%,2.69M,3.50,N/A,N/A
NX,57.25,663.20M,23.04,1.78,1.10,1.74,12.79,2.03%,2.57%,1.96%,2.64%,603.66M,16.88,5.00%,130.80M,48.41M,0.34,-88.60%,60.03M,1.79,634.00K,0.17,3.24,11.31,35.11M,-2.15M,0.20,10.62%,21.93,17.04,20.69,19.60,"228,647","201,125",33.87M,0.87%,97.10%,677.12K,2.90,0.80%,0.16
PWR,17.52,5.01B,11.94,2.23,0.62,1.15,8.24,3.71%,6.16%,5.13%,7.31%,7.98B,36.46,7.10%,1.23B,692.58M,1.35,-1.70%,135.53M,0.64,124.44M,2.89,2.12,20.29,560.58M,71.62M,1.11,-31.76%,37.49,22.68,27.93,28.54,"2,334,390","4,096,100",204.50M,1.08%,91.90%,3.85M,1.70,N/A,N/A
QTWW,N/A,48.51M,N/A,-0.16,1.49,1.71,-4.92,-42.62%,-40.44%,-12.10%,-45.64%,35.35M,1.49,15.60%,5.14M,-12.73M,-0.64,N/A,8.42M,0.30,12.24M,39.78,1.78,1.10,-18.08M,-18.63M,2.97,-64.78%,5.34,1.73,2.20,2.66,"108,166","99,288",27.88M,1.60%,39.80%,1.07M,8.90,N/A,N/A
QTM,19.17,301.11M,8.21,0.96,0.54,N/A,14.85,3.03%,2.82%,2.71%,N/A,553.09M,2.17,15.50%,244.69M,26.67M,0.06,N/A,67.95M,0.26,153.74M,N/A,0.95,-0.23,6.03M,10.94M,1.78,-8.73%,2.22,1.02,1.46,1.71,"1,770,020","2,567,260",261.83M,12.34%,64.40%,17.05M,11.80,N/A,N/A
DGX,21.22,10.40B,14.17,1.56,1.41,2.47,9.59,6.60%,15.42%,7.47%,12.60%,7.55B,52.08,1.20%,2.80B,1.48B,3.41,-11.30%,150.00M,1.04,3.74B,86.00,1.23,29.96,901.00M,695.50M,0.02,18.56%,89.00,56.27,72.73,73.13,"1,404,770","814,412",143.64M,0.36%,103.00%,11.53M,10.10,2.10%,1.42
STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIK,N/A,73.07M,N/A,-0.22,3.35,2.36,-3.74,-63.95%,-62.65%,-20.59%,-38.85%,22.84M,0.41,-44.80%,11.05M,-12.80M,-0.26,N/A,28.22M,0.50,1.37M,4.23,8.98,0.58,-9.60M,-4.71M,1.71,-63.07%,3.78,0.95,1.48,1.84,"384,088","660,138",56.21M,0.62%,27.40%,4.17M,8.00,N/A,N/A
KWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDEL,N/A,690.99M,187.36,-9.37,3.48,3.04,23.29,-1.81%,2.61%,0.94%,-1.60%,198.63M,5.74,10.80%,108.44M,30.40M,-0.11,N/A,204.74M,6.11,145.49M,63.22,7.62,6.79,41.66M,35.84M,0.83,-17.92%,29.38,20.26,22.65,23.81,"244,042","405,250",33.53M,26.89%,83.60%,6.51M,24.00,N/A,N/A
ZQK,N/A,81.98M,N/A,-0.07,0.06,N/A,-40.16,-22.09%,-4.75%,-3.22%,-203.33%,1.45B,8.49,-16.10%,762.84M,-21.42M,-1.88,N/A,48.08M,0.28,820.77M,N/A,2.18,-0.09,-10.45M,105.83M,5.20,-85.09%,3.35,0.39,0.58,1.45,"2,950,790","1,331,920",171.73M,27.25%,81.00%,32.44M,7.50,N/A,N/A
QNST,N/A,254.86M,16.34,0.16,0.92,1.86,-58.53,-40.80%,-7.96%,-4.38%,-60.20%,278.78M,6.30,4.80%,40.64M,-3.86M,-2.57,N/A,114.10M,2.56,64.56M,46.80,2.42,3.10,10.18M,10.58M,1.11,12.82%,6.83,3.78,6.29,6.07,"103,394","162,350",44.56M,21.07%,59.30%,973.43K,9.90,N/A,N/A
Q,27.68,9.20B,20.57,1.89,2.27,N/A,14.97,8.41%,14.45%,12.02%,N/A,4.19B,33.09,2.50%,1.48B,727.85M,2.72,-4.20%,779.07M,6.23,2.31B,N/A,1.59,-4.90,395.86M,246.45M,0.57,34.59%,80.45,51.09,74.86,68.26,"852,214","1,666,260",122.25M,15.72%,85.90%,3.35M,4.80,N/A,N/A
QUMU,N/A,41.71M,N/A,-0.10,1.59,0.94,-1.14,-50.88%,-109.14%,-25.22%,-48.53%,28.56M,3.19,51.90%,12.05M,-29.60M,-1.62,N/A,27.42M,3.00,0.00,N/A,2.34,5.27,-25.57M,-13.63M,0.70,-66.84%,15.87,4.18,7.11,11.23,"31,386","38,613",9.15M,10.78%,59.40%,54.73K,5.10,N/A,N/A
RAX,40.57,4.58B,29.14,1.67,2.43,3.90,10.08,6.13%,9.32%,6.63%,10.08%,1.85B,13.05,14.10%,1.21B,486.11M,0.79,11.80%,275.70M,1.93,157.40M,13.65,1.92,8.08,546.11M,82.73M,1.55,2.36%,56.20,28.80,36.04,45.29,"2,296,080","2,548,380",142.82M,24.16%,69.10%,10.61M,6.30,N/A,N/A
RDN,6.00,3.78B,10.55,-1.44,3.49,1.62,8.55,66.35%,46.73%,5.46%,54.64%,1.09B,5.69,-4.00%,802.16M,581.40M,3.03,-71.40%,51.38M,0.25,1.22B,52.05,0.20,11.28,N/A,N/A,1.56,33.87%,19.13,13.40,18.54,17.49,"2,332,350","1,852,990",208.59M,0.68%,91.60%,26.08M,8.90,0.10%,0.01
ROIA.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSYS,N/A,104.66M,10.18,1.88,0.51,1.43,-22.48,-12.25%,-7.99%,-6.21%,-29.48%,197.63M,5.43,11.20%,51.80M,-4.17M,-0.67,N/A,15.85M,0.43,10.00M,14.07,1.37,1.94,35.00K,12.01M,1.69,-3.39%,3.16,1.79,2.69,2.42,"107,997","136,250",36.72M,11.11%,68.30%,97.36K,1.50,N/A,N/A
RDNT,32.97,305.01M,12.09,1.83,0.41,64.57,8.62,1.27%,6.22%,3.84%,N/A,729.96M,17.48,7.30%,114.92M,103.42M,0.21,N/A,154.00K,0.00,600.51M,"9,183.56",1.47,0.11,83.33M,27.15M,1.21,-0.86%,10.35,5.88,6.68,7.73,"286,078","197,262",44.27M,40.48%,29.00%,1.28M,5.00,N/A,N/A
RMKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS,N/A,432.70M,6.44,0.43,1.96,1.25,N/A,-122.61%,14.06%,-8.15%,-38.27%,228.33M,2.79,-0.90%,104.98M,N/A,-3.81,N/A,92.77M,1.12,2.70B,417.93,22.32,4.31,-12.51M,N/A,1.99,-32.30%,8.16,5.15,5.91,6.60,"685,092","1,941,140",82.89M,1.12%,62.80%,4.06M,6.50,13.00%,0.72
RALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,15.25,10.30B,15.31,2.46,1.36,2.67,7.87,9.21%,13.81%,10.78%,17.72%,7.62B,86.40,1.00%,4.38B,1.35B,7.88,-19.00%,1.14B,13.26,789.00M,20.28,2.80,45.09,894.00M,473.88M,0.96,-26.15%,187.49,119.00,130.60,136.37,"932,200","1,490,020",59.83M,1.08%,92.40%,3.71M,4.90,1.60%,1.90
RMBS,53.92,1.57B,19.26,0.68,5.40,3.65,13.84,10.34%,20.09%,6.11%,7.51%,287.48M,2.50,-4.80%,254.61M,96.39M,0.25,36.00%,348.13M,2.99,156.82M,36.92,11.66,3.65,89.33M,73.01M,1.86,12.43%,15.49,9.87,13.71,13.27,"700,847","624,912",116.36M,0.61%,65.00%,7.03M,10.80,N/A,N/A
RPT,517.50,1.31B,12.09,1.34,10.96,1.68,23.92,4.45%,27.93%,2.32%,1.27%,239.11M,3.09,18.40%,159.57M,148.05M,0.03,552.90%,7.23M,0.05,910.10M,101.52,0.21,9.84,106.57M,130.90M,0.53,-0.18%,20.20,15.82,16.80,17.95,"383,270","304,950",79.16M,1.92%,89.10%,4.09M,7.80,4.80%,0.80
RLOG,N/A,47.79M,265.00,-3.79,0.32,1.55,7.81,-6.16%,7.10%,2.63%,-17.61%,152.96M,8.57,-9.30%,48.68M,30.35M,-0.59,N/A,5.08M,0.28,173.71M,375.62,0.53,1.74,27.10M,3.05M,0.73,-56.56%,6.65,2.65,3.07,3.30,"29,520","21,163",18.04M,21.85%,69.40%,491.98K,10.70,N/A,N/A
RRC,9.56,5.94B,893.00,4.67,3.54,1.80,6.46,35.41%,53.17%,7.24%,21.20%,1.78B,10.78,-43.80%,1.44B,1.59B,3.74,-14.90%,519.00K,0.00,3.26B,93.48,0.84,21.05,983.55M,-574.59M,1.45,-52.50%,79.38,35.56,44.57,51.68,"3,773,920","5,875,240",166.20M,2.42%,94.70%,14.12M,3.90,0.40%,0.16
RPTP,N/A,1.12B,N/A,N/A,14.22,28.29,-26.97,-73.68%,-56.44%,-20.25%,-189.70%,77.82M,1.20,68.60%,60.08M,-42.70M,-0.88,N/A,134.54M,1.67,120.00M,355.51,4.93,0.49,-44.35M,-32.77M,-0.27,24.02%,16.28,7.85,14.84,11.91,"1,128,510","1,026,550",80.48M,7.16%,49.30%,12.94M,10.10,N/A,N/A
REE,N/A,20.65M,N/A,N/A,N/A,2.16,-1.52,N/A,N/A,-47.60%,-87.48%,N/A,N/A,N/A,N/A,-11.46M,-0.25,N/A,7.51M,0.14,0.00,N/A,8.94,0.17,-12.26M,-7.47M,6.75,-66.67%,1.23,0.24,0.43,0.57,"98,166","67,825",52.94M,2.32%,0.60%,526.26K,4.80,N/A,N/A
RAVN,27.30,706.88M,22.80,1.79,2.06,2.36,12.75,7.39%,10.11%,6.56%,9.13%,345.92M,9.27,-31.40%,103.25M,52.58M,0.69,-56.00%,47.70M,1.26,0.00,N/A,6.03,7.96,50.93M,21.42M,1.29,-36.72%,30.74,16.91,19.70,20.42,"193,381","124,938",37.80M,1.26%,77.90%,3.07M,11.50,2.70%,0.52
RJF,16.78,8.43B,13.96,1.15,1.65,1.91,N/A,9.94%,18.69%,N/A,N/A,5.12B,36.11,9.10%,4.86B,N/A,3.49,8.60%,6.96B,48.62,3.07B,65.97,N/A,30.74,N/A,N/A,1.30,13.67%,61.82,48.06,59.62,57.84,"582,864","443,838",143.84M,11.36%,67.60%,2.87M,4.20,1.20%,0.70
RYAM,48.46,552.18M,9.41,-0.44,0.61,N/A,8.44,1.20%,7.77%,3.78%,2.45%,935.54M,22.19,-9.10%,223.75M,159.44M,0.27,-66.00%,77.62M,1.81,924.88M,N/A,2.46,-1.23,189.18M,85.46M,N/A,-61.27%,34.58,11.41,13.86,16.13,"529,472","1,196,480",42.84M,0.04%,19.90%,4.76M,8.30,2.40%,0.28
RYN,39.52,2.92B,50.09,13.55,4.79,1.96,16.39,12.60%,16.81%,2.08%,3.77%,600.64M,4.75,-2.00%,119.66M,224.92M,0.58,-57.20%,139.05M,1.10,751.18M,48.52,0.97,11.57,269.85M,89.55M,-0.07,-32.14%,34.70,22.27,25.26,26.46,"1,223,200","1,485,990",126.90M,1.23%,75.10%,4.73M,4.40,4.10%,1.05
RTN,15.60,33.03B,15.48,2.01,1.46,3.30,10.30,9.46%,13.05%,6.77%,19.16%,22.75B,75.04,2.60%,5.53B,3.34B,6.97,-8.30%,2.49B,8.22,5.33B,50.32,1.54,33.12,1.77B,1.54B,0.69,19.05%,113.36,91.18,101.61,105.37,"1,855,390","2,030,680",303.55M,0.48%,78.30%,4.42M,2.40,2.60%,2.55
ROLL,27.83,1.62B,18.88,1.91,3.58,2.90,12.67,13.08%,21.65%,9.62%,10.71%,445.28M,19.30,-0.30%,170.14M,111.44M,2.49,-18.00%,125.46M,5.42,9.20M,1.67,10.12,23.74,71.79M,55.63M,0.76,18.87%,77.86,51.96,70.15,68.85,"88,031","125,662",23.39M,4.01%,99.90%,499.95K,6.00,N/A,N/A
RICK,20.18,114.88M,N/A,N/A,0.82,1.01,5.11,4.00%,19.39%,6.78%,4.56%,140.78M,13.87,13.80%,108.75M,34.24M,0.56,N/A,14.27M,1.39,71.54M,59.20,0.66,11.17,21.96M,22.27M,-0.08,-3.86%,12.50,9.13,11.73,11.19,"34,734","27,925",10.26M,13.13%,24.60%,353.90K,11.30,N/A,N/A
RCMT,8.85,61.91M,N/A,N/A,0.33,1.46,7.34,3.62%,5.66%,7.85%,13.24%,193.17M,15.43,-1.20%,51.69M,12.19M,0.55,15.40%,528.00K,0.04,20.00M,46.43,3.27,3.39,2.08M,1.76M,0.76,-27.85%,9.25,4.74,5.46,5.94,"14,459","12,750",12.71M,22.04%,41.90%,16.02K,1.50,N/A,4.00
RCAP,N/A,308.64M,2.65,0.13,0.14,0.58,N/A,-6.13%,-2.95%,-11.02%,-30.83%,2.38B,39.17,127.10%,2.05B,N/A,-5.24,N/A,203.37M,2.64,879.35M,102.72,1.27,7.30,-210.53M,N/A,0.24,-82.17%,24.80,3.73,5.74,8.44,"824,631","1,111,820",77.16M,60.87%,4.50%,13.22M,11.10,N/A,N/A
RMAX,34.65,474.76M,N/A,N/A,2.73,1.94,6.37,7.95%,41.97%,12.62%,552.88%,173.31M,14.86,5.60%,170.98M,87.93M,1.12,14.20%,114.55M,9.36,203.33M,N/A,1.42,19.93,65.63M,101.30M,N/A,32.64%,41.00,28.58,37.32,34.75,"65,219","99,938",12.23M,13.18%,87.90%,513.54K,6.60,1.30%,1.88
RLOC,N/A,86.53M,N/A,-0.13,0.19,1.99,-1.30,-11.52%,-9.94%,-15.96%,-82.74%,449.75M,15.67,-20.20%,222.20M,-37.19M,-1.81,N/A,33.83M,1.15,1.57M,3.69,0.49,1.45,-4.45M,-22.45M,0.88,-49.40%,6.13,2.39,2.95,2.96,"66,505","36,163",29.33M,50.35%,41.40%,1.22M,10.60,N/A,N/A
RDI,10.08,286.44M,N/A,N/A,1.10,2.36,9.87,11.29%,9.65%,4.09%,22.90%,257.28M,11.01,4.40%,66.31M,40.51M,1.22,N/A,40.17M,1.72,159.51M,128.62,0.88,5.13,30.13M,4.64M,0.75,42.46%,14.45,7.82,13.10,13.15,"66,284","90,350",21.75M,25.91%,24.90%,288.00K,4.60,N/A,N/A
RGSE,N/A,24.30M,N/A,N/A,0.14,N/A,-0.48,-68.05%,-38.99%,-32.65%,-353.00%,67.62M,26.37,-22.90%,12.76M,-23.83M,-17.94,N/A,992.00K,0.21,5.11M,N/A,0.75,-2.87,-24.57M,-2.91M,1.64,-95.70%,46.40,1.29,2.02,4.63,"884,845","1,384,910",12.27M,20.41%,16.00%,492.90K,0.40,N/A,N/A
RLD,N/A,540.77M,39.67,4.46,3.35,3.72,15.75,-14.57%,-1.75%,-0.75%,-15.98%,163.46M,3.27,-31.30%,80.78M,37.13M,-0.48,N/A,60.33M,1.20,29.84M,20.39,1.89,2.91,51.85M,54.55M,1.34,10.87%,13.53,8.97,12.36,12.34,"151,689","211,388",50.49M,25.21%,59.50%,2.14M,12.00,N/A,N/A
RNWK,N/A,154.89M,N/A,N/A,1.14,0.93,-0.68,-62.74%,-52.56%,-17.06%,-40.93%,141.09M,3.92,-33.10%,90.41M,-62.67M,-2.46,N/A,134.39M,3.72,0.00,N/A,3.48,4.80,-61.83M,-31.46M,0.73,-45.21%,7.94,4.25,5.21,6.26,"105,622","117,338",36.11M,36.50%,44.50%,999.18K,11.20,N/A,N/A
RP,N/A,1.46B,31.64,2.01,3.71,4.68,61.57,-2.67%,-3.80%,-1.82%,-3.39%,414.46M,5.38,9.90%,229.68M,24.55M,-0.14,N/A,27.79M,0.35,15.00M,4.56,0.99,4.13,68.84M,34.28M,1.42,17.18%,23.11,14.92,19.29,19.44,"226,592","257,275",79.57M,39.72%,71.80%,1.16M,5.00,N/A,N/A
O,43.94,11.04B,16.65,4.06,11.53,2.05,19.00,29.23%,48.78%,2.71%,5.11%,958.80M,4.30,11.40%,879.63M,858.17M,1.08,16.70%,12.19M,0.05,5.03B,88.60,0.77,23.15,631.35M,522.35M,0.29,8.63%,55.54,40.56,46.50,48.81,"1,712,160","1,876,040",232.54M,0.51%,66.50%,18.78M,10.80,4.80%,2.24
RCPT,N/A,7.22B,N/A,N/A,"1,581.29",11.71,-49.85,N/A,"-2,891.91%",-20.00%,-35.44%,4.55M,0.17,N/A,5.90M,-131.38M,-4.89,N/A,644.57M,20.43,0.00,N/A,14.98,19.47,-99.20M,-49.66M,1.31,414.06%,230.87,41.98,210.37,162.08,"1,127,830","795,400",31.60M,29.67%,63.50%,2.04M,1.50,N/A,N/A
REPH,N/A,99.28M,N/A,N/A,N/A,6.31,N/A,N/A,N/A,-37.00%,-67.65%,N/A,N/A,N/A,N/A,N/A,-1.15,N/A,16.59M,2.12,0.00,N/A,6.69,1.96,-13.02M,-6.75M,N/A,111.00%,18.30,2.36,13.92,9.10,"103,378","59,038",7.84M,41.13%,27.90%,174.17K,1.90,N/A,N/A
RHT,76.82,14.24B,35.92,2.76,7.71,10.56,40.09,10.32%,14.84%,5.01%,13.26%,1.85B,9.98,13.50%,1.52B,349.85M,1.01,27.40%,1.18B,6.45,720.00M,53.36,1.37,7.36,666.87M,435.33M,0.93,31.13%,81.49,52.53,78.46,73.96,"1,185,720","814,088",183.48M,10.93%,84.90%,3.82M,2.50,N/A,N/A
RLH,11.00,176.81M,221.75,-1.29,1.22,1.24,12.03,11.23%,1.11%,0.39%,10.55%,142.39M,7.18,-9.30%,23.87M,14.30M,0.81,N/A,76.61M,3.84,82.33M,48.85,4.62,7.03,4.36M,-568.25K,0.51,61.27%,9.00,5.26,8.06,7.14,"73,647","90,438",19.93M,13.36%,76.10%,124.28K,1.30,N/A,N/A
RRGB,34.45,1.26B,23.97,2.91,1.04,3.30,10.43,3.10%,5.12%,5.63%,10.12%,1.20B,84.73,16.00%,258.52M,130.92M,2.58,38.70%,21.45M,1.52,143.79M,37.81,0.59,26.92,123.54M,-5.69M,0.61,39.54%,95.00,47.45,88.94,83.53,"257,250","216,525",14.12M,1.35%,101.70%,1.15M,5.40,N/A,N/A
RWT,11.95,1.18B,8.69,2.22,5.38,0.98,N/A,44.66%,42.36%,1.90%,8.22%,230.71M,2.78,60.20%,N/A,N/A,1.17,20.00%,441.20M,5.24,4.47B,355.88,2.75,15.01,-1.51B,N/A,0.74,-27.59%,20.43,13.96,15.84,17.55,"562,594","477,025",84.26M,1.43%,104.40%,3.04M,4.90,7.40%,1.12
REED,N/A,78.75M,37.62,3.53,1.79,22.85,128.11,-1.78%,0.00%,0.01%,-23.30%,45.14M,3.45,19.20%,13.01M,688.00K,-0.06,N/A,1.22M,0.09,9.04M,249.42,1.19,0.27,473.00K,-81.87K,1.44,19.44%,7.64,4.90,6.20,5.87,"35,108","43,563",13.08M,33.04%,6.10%,187.68K,7.60,N/A,N/A
RGDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC,135.70,3.20B,11.84,1.20,0.96,1.66,10.65,0.70%,8.90%,4.31%,1.41%,3.37B,75.00,13.80%,797.30M,441.40M,0.53,-16.90%,229.70M,5.13,1.96B,98.43,2.50,43.43,269.90M,67.51M,1.30,2.84%,81.36,62.15,70.36,75.16,"324,861","410,138",44.81M,1.17%,97.30%,2.40M,8.10,1.40%,0.89
RGC,23.54,3.08B,15.50,1.31,1.03,N/A,10.18,4.40%,10.02%,7.02%,N/A,2.95B,19.01,-4.90%,1.83B,506.10M,0.84,N/A,172.40M,1.11,2.36B,N/A,0.72,-5.84,323.00M,136.69M,1.05,-4.37%,24.52,17.87,20.32,21.59,"997,108","1,740,390",132.77M,41.88%,59.80%,14.45M,15.00,4.60%,1.88
REG,34.32,5.99B,19.91,4.02,10.29,3.84,21.94,33.48%,39.12%,3.46%,10.42%,577.05M,6.22,5.70%,401.08M,368.86M,1.85,23.50%,36.49M,0.39,2.03B,106.76,0.39,16.45,279.94M,212.56M,0.52,13.64%,70.80,53.28,62.10,64.82,"608,531","574,712",94.32M,1.93%,109.80%,5.09M,6.90,3.10%,1.91
RGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,185.77,60.94B,39.26,2.10,19.44,20.04,55.81,11.61%,30.37%,15.59%,13.73%,3.06B,30.18,39.00%,2.61B,987.60M,3.12,11.30%,742.16M,7.26,472.48M,15.90,4.31,29.07,602.13M,475.92M,1.03,70.90%,605.93,320.06,538.80,477.76,"735,956","824,812",103.28M,24.66%,74.90%,4.49M,7.20,N/A,N/A
RGRX,N/A,38.97M,N/A,N/A,974.97,N/A,-29.96,N/A,"-3,957.25%",-79.45%,N/A,40.00K,0.00,N/A,N/A,-1.58M,-0.02,N/A,1.06M,0.01,596.31K,N/A,2.38,-0.03,-1.22M,-1.20M,0.70,192.31%,0.60,0.10,0.40,0.35,"74,266","49,763",101.60M,48.46%,0.10%,19.19K,0.10,N/A,N/A
RM,17.44,247.47M,8.77,0.44,1.23,1.31,12.80,7.01%,21.37%,5.10%,7.87%,203.42M,15.93,11.80%,N/A,46.96M,1.10,22.50%,4.79M,0.37,359.49M,188.46,50.42,14.80,N/A,N/A,1.12,16.29%,20.27,11.16,18.29,16.53,"76,459","63,563",12.89M,17.99%,72.40%,873.38K,12.70,N/A,N/A
RF,14.65,14.14B,11.93,2.23,2.82,0.88,N/A,21.22%,30.34%,0.89%,6.28%,4.99B,3.68,N/A,N/A,N/A,0.73,-5.00%,3.86B,2.90,5.45B,N/A,N/A,12.06,N/A,N/A,1.27,9.26%,10.87,8.59,10.39,9.89,"16,180,900","15,719,900",1.33B,0.35%,73.20%,14.64M,1.00,2.30%,0.21
RGS,N/A,787.62M,241.33,-5.91,0.43,1.24,8.88,-2.63%,0.88%,0.79%,-7.19%,1.86B,33.44,-3.70%,595.58M,80.27M,-0.88,N/A,212.95M,3.88,120.00M,18.56,2.09,11.79,106.02M,70.55M,1.47,-1.43%,17.91,13.50,15.39,16.22,"219,252","216,350",54.39M,11.71%,91.10%,2.24M,9.90,N/A,N/A
RGLS,N/A,356.10M,N/A,-0.13,34.58,2.40,-7.00,N/A,-459.82%,-20.36%,-48.87%,10.24M,0.22,157.50%,7.67M,-45.55M,-1.27,N/A,148.79M,2.92,0.00,N/A,11.05,2.89,-41.73M,-21.86M,1.76,-0.99%,25.60,6.23,9.61,14.36,"757,631","832,275",51.02M,74.01%,32.90%,9.22M,11.60,N/A,N/A
RGA,10.87,6.36B,10.27,0.50,0.60,0.89,7.72,5.72%,9.67%,N/A,N/A,10.56B,155.42,-7.20%,2.11B,1.08B,8.81,-34.20%,1.27B,19.16,3.12B,43.60,N/A,107.62,N/A,N/A,0.97,19.55%,98.70,72.34,96.72,92.79,"315,686","287,900",66.42M,0.55%,92.70%,693.64K,2.00,1.40%,1.36
REIS,64.24,277.02M,46.55,N/A,6.49,2.89,21.60,10.82%,18.77%,4.22%,5.13%,42.52M,3.82,11.90%,33.30M,11.49M,0.38,82.60%,21.37M,1.90,0.00,N/A,1.28,8.52,15.53M,7.84M,1.31,7.21%,28.82,19.91,23.57,23.83,"30,648","39,075",11.23M,40.40%,44.80%,201.59K,5.70,2.30%,0.50
RS,12.54,4.56B,11.43,1.48,0.44,1.14,7.60,3.68%,6.21%,5.20%,9.49%,10.32B,134.42,-7.40%,2.62B,860.40M,4.89,-6.50%,131.90M,1.77,2.20B,54.19,4.27,54.21,710.40M,427.08M,1.15,-10.90%,73.96,50.63,60.92,60.18,"588,820","543,638",74.38M,3.05%,79.30%,807.42K,1.60,2.70%,1.50
RELV,15.88,15.88M,N/A,N/A,0.28,0.93,8.49,1.72%,1.20%,1.59%,5.99%,57.71M,4.54,2.60%,45.69M,1.67M,0.08,N/A,5.85M,0.46,4.12M,24.12,1.88,1.33,2.14M,1.40M,4.93,-6.06%,1.71,1.06,1.25,1.18,"8,605","6,288",12.82M,36.89%,7.30%,3.72K,0.50,N/A,N/A
RWC,24.80,41.77M,N/A,N/A,1.36,1.28,13.12,5.31%,8.41%,4.56%,5.12%,31.72M,2.32,9.60%,13.19M,3.14M,0.12,13.30%,10.69M,0.78,0.00,N/A,9.53,2.47,3.22M,1.47M,2.13,-25.61%,6.75,3.05,4.23,5.42,"11,238","19,788",13.70M,32.12%,22.00%,117.79K,11.70,N/A,N/A
RLYP,N/A,1.24B,N/A,-2.73,N/A,4.22,-13.06,N/A,N/A,-26.36%,-50.71%,N/A,N/A,N/A,N/A,-84.58M,-2.68,N/A,322.32M,7.77,16.00M,5.20,16.49,7.43,-80.07M,-41.52M,N/A,16.26%,42.26,17.60,33.19,35.01,"419,159","454,000",41.46M,57.37%,25.30%,2.39M,5.10,N/A,N/A
MARK,N/A,59.71M,N/A,N/A,30.56,8.93,-4.04,N/A,-858.35%,-71.45%,-457.34%,1.98M,0.15,21.70%,1.84M,-16.16M,-1.34,N/A,2.56M,0.18,9.86M,146.41,0.43,0.49,-6.99M,-426.19K,1.69,-40.06%,8.00,3.53,4.21,4.27,"27,811","6,300",13.95M,9.90%,8.80%,77.79K,1.60,N/A,N/A
