,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
WHR,20.04,13.36B,11.10,0.72,0.64,2.70,8.82,3.25%,6.69%,4.97%,12.97%,20.88B,265.49,11.20%,3.40B,2.03B,8.50,-1.10%,691.00M,8.81,4.76B,81.34,1.01,63.22,1.45B,628.00M,1.75,15.36%,217.11,139.85,174.72,191.06,"987,523","679,562",78.42M,0.66%,91.20%,2.18M,2.40,2.00%,3.15
WFM,20.78,12.35B,19.26,1.81,0.83,3.11,N/A,4.05%,6.61%,10.34%,15.00%,14.95B,41.33,9.80%,5.04B,1.39B,1.66,11.30%,776.00M,2.17,63.00M,1.56,1.40,11.19,1.18B,301.50M,1.40,-9.88%,57.57,34.36,39.60,47.07,"4,754,380","10,692,500",358.28M,0.81%,85.80%,20.14M,5.40,1.30%,0.51
WMB,17.69,36.55B,35.62,3.25,4.78,4.42,23.26,26.88%,16.54%,2.00%,15.21%,7.60B,10.34,-1.90%,3.13B,2.65B,2.76,-50.00%,341.00M,0.46,22.49B,114.86,0.70,10.98,2.34B,-2.80B,0.70,-13.92%,61.38,40.07,54.98,50.57,"10,841,700","6,876,860",749.01M,0.17%,77.10%,21.41M,1.30,4.50%,2.30
WEC,19.70,15.80B,17.20,2.39,2.37,2.46,10.39,12.29%,23.22%,4.55%,12.97%,4.69B,20.80,-18.10%,1.63B,1.51B,2.54,-5.70%,65.20M,0.29,5.16B,113.61,0.85,20.00,1.14B,388.88M,0.38,15.73%,58.01,42.53,47.38,49.39,"2,061,600","2,060,450",315.70M,0.17%,74.80%,5.88M,2.10,3.60%,1.83
WYN,17.45,9.44B,14.21,1.22,1.78,8.78,11.88,10.49%,19.27%,6.47%,43.02%,5.35B,43.41,5.80%,2.78B,1.26B,4.51,35.60%,180.00M,1.50,5.22B,481.92,1.01,9.02,922.00M,620.38M,1.25,0.40%,94.35,69.86,83.27,86.86,"1,091,410","1,663,900",120.04M,0.47%,93.00%,5.36M,5.50,2.00%,1.54
WYNN,22.76,10.47B,21.67,4.05,2.03,N/A,11.60,9.18%,21.58%,7.40%,743.94%,5.01B,49.62,-27.80%,2.12B,1.43B,4.53,N/A,1.81B,17.86,7.99B,N/A,1.91,-2.22,874.08M,-1.18B,0.77,-48.49%,205.48,93.59,101.86,121.26,"2,458,630","2,716,440",101.54M,20.35%,76.00%,9.46M,3.60,2.00%,5.00
XEL,19.54,17.87B,15.88,3.60,1.54,1.73,9.80,7.97%,15.77%,3.17%,9.14%,11.45B,22.63,-7.50%,3.73B,2.98B,1.80,-41.80%,144.79M,0.29,12.73B,124.58,0.81,20.16,3.04B,-871.45M,0.42,15.76%,38.35,30.12,33.37,34.36,"3,053,450","3,371,860",506.91M,0.13%,70.30%,13.15M,4.80,3.90%,1.24
XRX,19.12,11.63B,10.26,5.72,0.62,1.17,8.10,3.49%,7.33%,3.18%,7.61%,18.89B,16.89,-12.90%,6.25B,2.18B,0.57,-95.50%,1.64B,1.54,7.65B,73.19,1.37,9.41,1.91B,2.21B,1.41,-18.56%,14.36,10.24,10.76,12.11,"10,658,800","11,540,300",1.07B,5.96%,84.00%,8.95M,0.90,2.60%,0.27
XLNX,18.96,11.17B,19.46,2.44,4.78,4.21,10.43,26.90%,32.48%,9.42%,22.95%,2.31B,8.80,-10.40%,1.67B,826.53M,2.28,-14.90%,3.33B,12.92,1.57B,59.92,4.16,10.18,N/A,N/A,1.59,4.93%,48.73,36.24,42.94,42.96,"3,327,220","3,452,020",258.68M,0.21%,92.60%,11.22M,3.50,3.10%,1.20
XL,N/A,11.95B,10.50,-3.02,1.91,0.97,11.84,-0.50%,13.67%,1.15%,0.44%,6.24B,23.81,-20.30%,2.36B,904.44M,-0.12,-85.80%,3.52B,11.47,2.64B,22.70,1.72,39.91,798.09M,1.78B,1.18,21.25%,39.56,30.83,38.01,37.07,"2,794,650","3,200,880",306.64M,0.31%,95.30%,6.02M,2.10,1.70%,0.64
XYL,17.51,6.08B,16.18,2.11,1.59,3.07,11.20,9.15%,12.58%,6.36%,16.69%,3.85B,21.08,-7.60%,1.51B,625.00M,1.91,30.60%,554.00M,3.06,1.28B,64.15,2.37,10.97,433.00M,341.75M,1.49,-8.37%,39.23,31.80,35.61,35.75,"961,338","1,109,750",181.37M,0.54%,91.00%,2.77M,2.40,1.60%,0.54
YHOO,5.09,34.41B,53.93,-2.22,7.02,1.02,58.70,142.49%,1.96%,0.18%,30.02%,4.87B,5.16,14.70%,3.32B,541.75M,7.20,N/A,5.82B,6.21,1.20B,3.58,5.39,35.76,-2.23B,636.26M,1.60,2.46%,52.62,35.15,38.65,42.58,"13,078,600","10,652,500",938.44M,13.38%,61.60%,31.19M,2.60,N/A,N/A
YUM,42.93,37.78B,21.42,2.12,2.89,24.17,14.89,7.00%,14.92%,14.26%,44.11%,13.08B,29.76,-3.10%,3.60B,2.70B,2.04,-29.60%,636.00M,1.48,3.40B,208.15,0.64,3.63,1.91B,905.00M,1.22,25.09%,95.90,65.81,89.36,84.18,"3,088,260","1,588,340",431.21M,0.28%,80.30%,8.73M,2.40,1.90%,1.64
ZBH,25.95,20.66B,13.04,1.33,3.73,2.63,9.97,14.54%,31.06%,6.79%,10.53%,4.65B,27.46,-2.30%,N/A,1.80B,3.92,-20.00%,9.28B,54.47,9.06B,137.65,13.12,38.62,955.50M,721.46M,1.28,5.62%,121.84,95.33,107.85,113.84,"1,187,430","1,421,550",203.11M,0.19%,85.30%,4.40M,3.30,0.80%,0.88
ZION,28.52,6.26B,14.56,2.17,3.01,0.97,N/A,13.51%,25.21%,0.50%,3.99%,2.10B,10.43,-28.90%,N/A,N/A,1.08,-88.30%,9.90B,48.58,1.28B,N/A,N/A,32.03,N/A,N/A,1.11,10.31%,33.03,23.72,31.31,28.61,"2,920,230","2,330,300",203.74M,1.89%,84.30%,12.50M,4.40,0.80%,0.18
ZTS,40.94,24.12B,25.29,2.37,5.04,18.90,20.64,12.38%,23.93%,11.16%,49.67%,4.79B,9.56,0.50%,3.07B,1.35B,1.18,6.50%,559.00M,1.12,3.64B,279.31,2.27,2.55,709.00M,709.75M,0.84,48.19%,55.38,32.35,48.70,47.04,"3,423,780","3,303,410",499.34M,0.01%,92.90%,4.75M,1.10,0.70%,0.31
